;KRc1;KRc2;KRps1;KRps2;LAc3;LAc4;LAps3;LAps4
Otu0001;1279;3;2;27;0;0;0;0
Otu0002;12;167;83;29;5;4;9;0
Otu0003;3;233;100;16;50;0;49;0
Otu0004;0;0;0;0;0;13;1;612
Otu0005;0;0;0;0;0;0;0;996
Otu0006;37;69;2;2;477;11;342;0
Otu0007;85;11;0;0;69;4;72;2
Otu0008;16;196;11;5;0;240;0;23
Otu0009;9;134;102;26;1;0;0;0
Otu0010;10;2;1;208;0;126;1;150
Otu0011;3;1;0;0;508;0;104;0
Otu0012;21;140;127;43;0;0;0;0
Otu0013;459;44;42;38;0;8;0;0
Otu0014;344;1;2;0;128;0;149;0
Otu0015;0;0;0;0;0;163;1;235
Otu0016;5;220;62;25;9;0;0;0
Otu0017;66;28;21;24;0;0;1;0
Otu0018;80;85;43;91;10;0;15;0
Otu0019;2;432;1;9;47;0;65;0
Otu0020;0;0;0;0;0;48;0;153
Otu0021;0;0;0;0;1;8;0;0
Otu0022;206;32;23;24;0;0;1;0
Otu0023;10;8;16;0;316;0;161;0
Otu0024;76;19;11;6;16;0;36;0
Otu0025;7;12;3;0;0;0;0;0
Otu0026;37;8;10;1;4;13;5;45
Otu0027;4;51;30;0;39;0;18;0
Otu0028;0;0;0;0;0;31;0;161
Otu0029;36;0;0;0;194;9;78;0
Otu0030;9;8;7;0;173;0;102;0
Otu0031;29;36;19;8;5;0;21;0
Otu0032;5;31;20;0;21;2;22;22
Otu0033;290;10;10;7;4;4;7;0
Otu0034;5;24;24;1;0;0;0;0
Otu0035;0;0;0;0;0;30;0;3
Otu0036;3;7;4;13;5;6;9;0
Otu0037;39;7;2;5;0;0;0;0
Otu0038;3;10;4;40;0;2;0;15
Otu0039;0;0;0;0;0;20;1;108
Otu0040;0;14;3;0;0;14;0;78
Otu0041;18;38;9;4;71;3;49;0
Otu0042;2;17;14;78;0;0;0;0
Otu0043;253;0;0;0;0;0;0;0
Otu0044;7;30;17;0;5;0;2;0
Otu0045;12;45;51;4;5;0;6;0
Otu0046;18;21;7;0;0;2;0;0
Otu0047;11;41;10;0;0;3;0;0
Otu0048;0;1;0;0;0;11;0;49
Otu0049;0;0;0;0;0;40;1;6
Otu0050;0;0;0;0;0;50;1;1
Otu0051;3;54;22;0;7;0;1;0
Otu0052;3;6;1;0;42;0;38;0
Otu0053;1;13;15;0;15;3;4;0
Otu0054;1;23;2;0;0;0;0;0
Otu0055;2;6;2;2;32;0;15;0
Otu0056;10;15;9;3;3;0;1;0
Otu0057;3;25;23;0;0;0;0;0
Otu0058;0;0;0;0;0;89;0;55
Otu0059;0;0;0;0;0;121;0;8
Otu0060;3;8;3;0;1;0;0;0
Otu0061;3;23;2;10;10;2;11;3
Otu0062;0;0;0;0;1;0;3;0
Otu0063;2;17;6;0;3;0;0;0
Otu0064;9;9;12;0;8;0;12;0
Otu0065;15;10;21;0;0;0;0;0
Otu0066;0;3;0;1;70;0;34;0
Otu0067;1;14;11;2;0;0;0;0
Otu0068;23;6;0;4;0;0;0;0
Otu0069;4;23;14;0;0;0;0;0
Otu0070;8;10;1;0;33;0;28;0
Otu0071;0;39;76;0;0;0;0;0
Otu0072;2;70;10;0;0;2;1;5
Otu0073;9;22;19;0;1;0;0;0
Otu0074;1;14;4;1;2;0;0;0
Otu0075;0;0;0;109;0;0;0;0
Otu0076;11;4;1;0;0;15;0;20
Otu0077;0;0;0;0;0;11;0;7
Otu0078;0;0;0;0;0;6;0;1
Otu0079;4;24;0;19;3;0;1;17
Otu0080;1;3;5;4;6;0;5;0
Otu0081;22;4;2;0;20;0;30;0
Otu0082;24;6;1;0;0;0;0;0
Otu0083;1;33;7;0;4;0;2;0
Otu0084;0;0;0;0;0;1;1;0
Otu0085;12;12;2;1;3;8;2;0
Otu0086;11;4;0;3;23;0;32;0
Otu0087;3;2;1;14;0;0;0;0
Otu0088;1;11;3;24;5;0;2;0
Otu0089;0;10;2;15;0;0;0;0
Otu0090;0;0;0;0;0;13;0;15
Otu0091;8;4;0;0;4;0;2;0
Otu0092;5;21;14;0;1;0;1;0
Otu0093;2;12;6;0;0;0;0;0
Otu0094;1;5;2;0;1;0;3;0
Otu0095;3;21;13;0;0;3;1;0
Otu0096;0;0;0;0;0;12;0;31
Otu0097;0;14;62;0;0;0;0;0
Otu0098;0;0;0;0;0;0;0;74
Otu0099;0;0;0;0;52;0;21;0
Otu0100;7;0;0;0;22;0;3;0